,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Default,HighMonthlyCharges,ShortTenure
875,1306,0,0,1,0,72.0,1,2,1,2,0,2,2,2,0,2,1,0,98.2,7015.9,0,1,0
1025,1004,0,0,1,1,39.0,1,0,0,2,0,0,0,0,0,0,0,1,51.05,2066.0,0,0,0
4967,5030,0,0,1,1,17.0,1,0,0,2,2,0,0,2,2,0,0,3,74.55,1215.8,0,1,1
1946,6517,1,0,0,0,3.0,1,0,0,0,0,0,0,0,2,0,0,3,54.65,189.1,0,0,1
6907,4105,0,1,1,0,56.0,1,2,0,2,2,2,2,0,0,1,1,1,68.45,4014.0,0,0,0
4084,3971,0,0,1,0,10.0,1,2,1,2,0,0,0,0,0,0,1,1,78.15,765.15,0,1,1
163,4512,1,0,1,1,16.0,1,0,0,2,0,2,0,2,0,2,0,3,64.25,1024.0,0,0,1
1108,5476,1,0,1,1,54.0,1,2,1,0,2,0,2,2,2,1,1,2,105.2,5637.85,0,1,0
3821,3001,1,1,1,1,50.0,1,2,0,2,2,2,0,0,2,2,1,0,75.15,3822.45,0,1,0
1868,6733,1,0,1,0,6.0,1,2,2,1,1,1,1,1,1,1,0,3,25.1,171.0,0,0,1
6485,640,0,0,0,1,13.0,1,0,0,0,0,2,2,0,0,0,0,3,53.45,718.1,0,0,1
5823,2233,1,0,0,0,65.0,1,2,1,0,2,2,0,2,2,2,0,1,105.1,6631.85,0,1,0
1378,2988,1,0,0,1,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,19.85,0,0,1
321,2786,1,0,0,0,71.0,1,0,2,1,1,1,1,1,1,2,1,1,19.9,1355.1,0,0,0
2326,6871,0,1,0,0,65.0,1,2,1,0,2,2,0,2,0,0,1,0,95.45,6223.3,0,1,0
4138,1504,1,0,0,0,56.0,1,2,1,0,2,0,0,2,2,0,0,2,98.6,5581.05,0,1,0
2,3953,1,0,0,0,34.0,1,0,0,2,0,2,0,0,0,1,0,3,56.95,1889.5,0,0,0
1682,2292,1,0,1,1,6.0,1,2,2,1,1,1,1,1,1,2,0,3,25.4,153.3,0,0,1
6981,3608,0,0,1,0,62.0,1,0,0,2,2,2,0,2,0,2,1,1,72.0,4284.2,0,1,0
3562,1382,0,1,0,0,33.0,0,1,0,2,2,2,0,2,2,0,1,0,59.45,1884.65,0,0,0
2689,3854,1,0,0,0,69.0,1,2,1,0,2,0,2,2,2,1,1,0,105.2,7386.05,0,1,0
1781,3970,1,1,1,0,72.0,1,2,2,1,1,1,1,1,1,2,1,0,25.0,1802.55,0,0,0
3494,667,0,0,1,0,26.0,1,2,0,2,2,2,2,2,2,1,1,1,90.1,2312.55,0,1,1
5237,1191,1,0,1,1,2.0,1,0,2,1,1,1,1,1,1,0,0,3,20.3,40.25,0,0,1
6408,2275,1,0,1,1,72.0,1,2,1,2,2,2,2,2,2,2,1,0,116.6,8337.45,0,1,0
5389,2184,0,0,0,0,4.0,1,2,0,0,0,0,2,2,0,0,1,3,64.4,253.0,0,0,1
3715,2609,1,0,1,1,10.0,1,0,2,1,1,1,1,1,1,1,0,3,20.45,242.4,0,0,1
1072,4995,1,0,1,0,24.0,1,0,1,2,0,0,2,0,2,0,1,2,89.25,2210.2,0,1,1
5843,6909,1,0,1,1,53.0,1,2,0,2,0,0,2,0,2,0,0,2,71.85,3827.9,0,1,0
6225,4553,1,0,1,1,10.0,0,1,0,2,2,2,2,0,2,2,0,1,53.7,521.0,0,0,1
2518,6723,1,0,1,1,52.0,1,0,2,1,1,1,1,1,1,2,0,3,19.2,1054.75,0,0,0
234,645,0,0,1,1,47.0,1,2,0,2,2,0,2,2,2,2,1,1,85.3,4107.25,0,1,0
5166,477,1,0,0,1,23.0,1,0,0,0,2,0,2,0,0,0,0,2,54.15,1312.45,0,0,1
6447,154,0,0,1,1,67.0,1,0,0,0,2,0,0,0,0,1,0,1,50.55,3431.75,0,0,0
4733,4325,1,0,0,0,46.0,0,1,0,2,0,2,2,0,0,2,0,3,38.25,1755.35,0,0,0
706,6636,1,0,0,0,35.0,1,2,1,0,0,0,0,2,0,0,0,2,83.15,2848.45,0,1,0
5372,6495,0,0,1,1,65.0,1,2,0,2,2,0,2,2,2,2,1,0,82.5,5215.1,0,1,0
233,3368,1,0,0,0,30.0,1,2,1,0,0,0,2,0,2,0,1,1,89.9,2723.15,0,1,0
1635,1672,1,1,1,0,38.0,1,2,1,0,2,2,0,2,2,0,1,2,102.6,4009.2,0,1,0
3244,2727,1,0,0,0,16.0,1,0,0,0,0,0,2,0,0,0,1,3,49.45,799.0,0,0,1
589,1647,0,0,0,0,3.0,1,0,2,1,1,1,1,1,1,0,1,3,20.0,61.7,0,0,1
372,5181,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.15,19.15,0,0,1
5453,392,0,0,1,1,41.0,1,2,1,2,2,2,0,0,2,1,1,0,101.6,3930.55,0,1,0
4985,6054,0,1,1,0,22.0,1,2,2,1,1,1,1,1,1,1,0,0,25.6,548.8,0,0,1
4788,6183,0,1,1,1,71.0,1,2,0,2,2,0,0,2,0,1,0,2,69.2,4982.5,0,0,0
5686,1732,0,1,1,0,34.0,1,0,0,0,0,2,2,2,0,1,0,0,64.2,2106.3,0,0,0
6670,960,1,0,1,1,43.0,0,1,0,0,2,0,0,0,0,0,0,1,29.3,1224.05,0,0,0
774,2185,1,0,1,0,17.0,1,0,0,2,2,0,0,0,2,1,0,3,64.8,1175.6,0,0,1
1968,5640,1,0,0,0,8.0,1,0,1,0,0,0,0,0,0,0,0,0,70.7,553.4,0,1,1
3995,4954,1,0,0,0,14.0,1,0,1,0,0,0,0,2,2,0,1,2,92.9,1337.45,0,1,1
1850,2881,1,0,0,0,69.0,0,1,0,0,2,2,0,0,0,1,1,0,35.75,2492.25,0,0,0
1239,3145,1,0,0,1,54.0,1,0,1,2,2,0,2,2,2,1,1,2,105.85,5826.65,0,1,0
3109,4859,1,1,0,0,9.0,1,2,1,0,0,0,0,0,0,0,1,2,74.05,678.45,0,1,1
2018,5200,0,0,0,1,31.0,1,0,2,1,1,1,1,1,1,1,0,1,20.1,589.25,0,0,0
5637,3944,1,0,0,0,58.0,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1131.5,0,0,0
1530,2097,0,0,1,1,7.0,1,0,2,1,1,1,1,1,1,0,0,3,20.65,158.95,0,0,1
7022,3366,0,0,0,0,51.0,1,0,2,1,1,1,1,1,1,2,0,0,20.65,1020.75,0,0,0
2819,5377,0,0,1,1,62.0,0,1,0,2,2,0,2,2,0,2,0,0,48.7,3008.55,0,0,0
6807,3981,0,0,0,0,20.0,1,2,1,2,0,0,0,2,0,0,1,0,89.1,1879.25,0,1,1
1926,4778,1,0,1,1,70.0,1,2,0,0,2,2,2,2,2,2,1,1,85.95,5931.75,0,1,0
1684,679,1,1,0,1,7.0,1,0,0,0,0,0,0,0,0,0,1,3,45.75,344.2,0,0,1
1927,5816,1,0,1,1,25.0,1,2,0,0,0,0,0,2,0,0,0,2,60.35,1404.65,0,0,1
4214,3056,1,0,1,1,44.0,1,0,0,0,2,0,2,0,0,0,1,0,54.9,2549.1,0,0,0
2989,4798,0,0,1,0,26.0,1,2,2,1,1,1,1,1,1,1,0,3,26.0,684.05,0,0,1
4362,5666,0,0,1,0,15.0,1,0,2,1,1,1,1,1,1,0,0,1,20.45,330.8,0,0,1
4560,3362,1,0,1,1,19.0,1,0,2,1,1,1,1,1,1,2,0,3,20.2,387.4,0,0,1
3037,4030,1,0,0,0,17.0,1,0,2,1,1,1,1,1,1,2,0,1,19.45,369.05,0,0,1
5884,4672,1,0,1,0,33.0,1,0,0,2,2,0,2,0,0,2,1,3,61.05,2018.4,0,0,0
5153,4383,1,0,1,0,65.0,1,2,1,2,2,2,0,2,0,2,1,2,99.35,6347.55,0,1,0
4849,3662,0,0,0,1,37.0,1,0,2,1,1,1,1,1,1,1,0,0,20.3,755.4,0,0,0
4378,5409,0,0,1,1,25.0,1,0,2,1,1,1,1,1,1,1,0,3,20.05,520.1,0,0,1
2553,6887,1,1,0,0,8.0,1,0,1,0,0,0,0,0,0,0,1,1,69.95,562.7,0,0,1
2495,5421,1,0,0,1,39.0,1,2,1,0,0,0,2,2,2,2,0,3,100.55,3895.35,0,1,0
5524,1381,1,0,1,0,1.0,1,0,0,2,0,2,0,0,0,0,0,3,55.7,55.7,0,0,1
5257,1789,1,1,1,0,71.0,1,2,1,2,2,2,0,2,2,0,1,2,107.5,7713.55,0,1,0
2560,1249,0,0,0,0,8.0,1,0,0,2,0,0,0,2,0,0,1,2,60.0,487.75,0,0,1
6141,2224,0,0,1,1,46.0,1,0,2,1,1,1,1,1,1,2,0,0,20.25,890.35,0,0,0
5864,1487,0,0,1,0,71.0,1,2,0,2,2,2,2,2,2,2,0,1,89.3,6388.65,0,1,0
5513,4258,1,0,1,0,70.0,1,2,2,1,1,1,1,1,1,2,0,0,25.15,1940.85,0,0,0
972,5502,1,0,0,1,3.0,1,0,2,1,1,1,1,1,1,0,0,3,20.85,60.65,0,0,1
6088,1015,1,1,1,1,64.0,1,2,2,1,1,1,1,1,1,2,1,0,24.4,1548.65,0,0,0
1956,6156,1,0,1,0,14.0,1,0,0,0,0,2,0,0,0,0,0,1,50.2,668.85,0,0,1
3603,4379,1,1,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0,2,46.3,46.3,0,0,1
1035,5905,0,0,1,1,50.0,1,0,1,0,0,0,0,0,0,0,1,0,69.75,3557.7,0,0,0
5436,4245,0,0,0,0,37.0,1,0,2,1,1,1,1,1,1,1,1,2,19.8,695.05,0,0,0
2852,4952,0,0,1,0,26.0,1,2,1,0,2,0,0,0,0,0,0,0,79.3,2015.8,0,1,1
4152,2691,1,1,1,0,71.0,1,2,2,1,1,1,1,1,1,2,0,0,24.85,1901.0,0,0,0
1712,3417,0,1,0,0,3.0,1,0,1,0,0,2,0,0,0,0,0,2,73.85,196.4,0,1,1
5496,2583,1,0,0,0,21.0,1,0,0,2,0,2,0,2,0,0,0,0,65.35,1424.4,0,0,1
5174,5042,1,0,0,1,15.0,1,0,0,2,0,2,0,0,2,1,0,3,64.85,950.75,0,0,1
6123,6982,1,0,0,0,72.0,1,2,1,2,2,2,2,2,2,2,1,2,118.2,8547.15,0,1,0
1849,872,1,0,1,0,59.0,1,0,0,2,2,2,0,2,0,1,0,1,66.4,3958.2,0,0,0
2727,3229,1,0,1,1,32.0,1,0,2,1,1,1,1,1,1,2,0,3,18.95,613.95,0,0,0
6516,3614,0,0,1,1,63.0,1,0,0,2,0,0,0,0,0,2,1,0,50.65,3221.25,0,0,0
1288,3057,0,0,1,0,72.0,1,2,1,2,0,2,0,2,2,2,1,2,105.5,7544.0,0,1,0
6884,467,0,0,1,0,21.0,1,0,1,0,0,0,2,2,0,0,1,2,86.05,1818.9,0,1,1
2861,1888,1,0,0,0,1.0,1,2,0,0,0,0,0,0,0,0,1,2,50.15,50.15,0,0,1
3799,2979,1,0,1,0,8.0,1,0,0,0,2,2,0,0,0,0,1,3,54.75,445.85,0,0,1
709,1009,1,0,0,0,4.0,1,0,0,0,2,0,0,0,0,0,0,3,49.25,208.45,0,0,1
313,2208,1,1,1,1,38.0,1,2,1,0,2,0,0,2,2,0,0,2,101.15,3741.85,0,1,0
1737,6821,1,1,1,1,61.0,1,2,1,0,2,0,0,2,2,1,0,2,99.0,5969.3,0,1,0
1198,3711,0,0,0,0,47.0,1,0,0,0,0,2,2,2,2,2,0,3,74.45,3510.3,0,1,0
5812,5987,1,0,0,0,57.0,1,0,2,1,1,1,1,1,1,2,0,1,18.8,1094.35,0,0,0
3274,1823,1,0,0,0,65.0,1,2,2,1,1,1,1,1,1,1,0,1,24.8,1600.95,0,0,0
691,3768,1,0,0,0,51.0,1,2,2,1,1,1,1,1,1,1,1,0,24.6,1266.4,0,0,0
6298,5649,1,0,0,1,21.0,1,0,2,1,1,1,1,1,1,2,0,3,19.6,397.0,0,0,1
2871,5311,0,0,0,0,12.0,1,0,1,0,2,0,0,0,2,0,1,2,84.6,1017.35,0,1,1
6526,747,0,0,1,1,18.0,1,2,2,1,1,1,1,1,1,2,0,3,25.1,428.45,0,0,1
3173,3443,0,0,0,0,50.0,1,0,2,1,1,1,1,1,1,1,1,3,19.35,1033.0,0,0,0
4470,2516,1,0,0,0,31.0,0,1,0,0,0,2,0,2,2,1,1,2,50.05,1523.4,0,0,0
2950,2797,1,0,0,0,9.0,1,0,1,2,0,0,0,0,0,0,0,2,75.6,661.55,0,1,1
3794,196,1,0,0,0,9.0,1,0,2,1,1,1,1,1,1,0,0,3,19.85,178.8,0,0,1
5757,5287,1,0,1,1,69.0,1,2,2,1,1,1,1,1,1,2,1,0,26.0,1796.55,0,0,0
1687,6492,1,0,1,0,72.0,1,2,0,2,2,2,0,2,2,2,1,2,85.25,6083.1,0,1,0
6700,4425,0,0,1,1,71.0,1,2,0,2,2,2,2,0,0,2,0,3,71.1,5224.95,0,1,0
1832,2050,0,0,1,1,45.0,0,1,0,2,0,0,0,2,2,0,1,0,50.9,2333.85,0,0,0
457,6240,1,0,1,0,60.0,0,1,0,0,2,2,2,2,2,0,1,0,60.2,3582.4,0,0,0
3215,6380,0,0,1,1,64.0,1,0,0,2,0,0,2,2,0,1,0,3,65.8,4068.0,0,0,0
2318,6458,1,0,1,1,43.0,1,2,1,0,0,2,2,2,2,1,1,1,104.3,4451.85,0,1,0
246,4675,1,0,0,0,72.0,1,2,1,0,2,2,2,2,2,2,0,0,109.2,7878.3,0,1,0
6558,3441,0,0,1,1,61.0,0,1,0,0,2,2,2,2,2,2,1,0,61.45,3751.15,0,0,0
6582,4926,1,0,1,0,70.0,1,2,0,0,2,2,2,2,0,2,0,0,72.95,5265.55,0,1,0
2829,6247,1,0,1,0,63.0,1,0,2,1,1,1,1,1,1,2,0,3,19.25,1237.65,0,0,0
4190,6069,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,2,20.7,20.7,0,0,1
3382,1859,1,0,1,0,68.0,1,2,2,1,1,1,1,1,1,2,0,1,25.05,1629.2,0,0,0
2860,6297,1,0,1,1,42.0,1,0,2,1,1,1,1,1,1,2,0,3,19.35,867.3,0,0,0
236,2310,1,0,0,0,50.0,1,0,1,2,2,0,2,0,2,0,1,1,93.5,4747.5,0,1,0
1027,5854,0,1,0,0,5.0,1,0,1,0,2,0,0,2,0,0,1,2,84.7,392.5,0,1,1
6903,1314,1,0,1,1,22.0,1,0,1,0,2,2,0,2,2,1,1,3,100.05,2090.25,0,1,1
6576,1479,0,0,0,0,34.0,1,0,0,2,2,0,0,0,0,1,0,3,55.0,1885.15,0,0,0
3136,5910,0,1,1,0,72.0,1,2,0,2,2,2,2,0,2,2,0,0,78.45,5682.25,0,1,0
6150,3521,0,0,1,1,67.0,0,1,0,2,2,2,2,2,0,2,0,1,54.2,3623.95,0,0,0
2399,5846,1,0,0,0,71.0,1,2,1,0,2,0,0,0,0,1,1,1,79.05,5552.5,0,1,0
1973,3866,0,0,0,0,53.0,1,0,1,0,2,2,0,2,2,1,1,3,100.3,5200.8,0,1,0
6673,1951,0,0,0,0,38.0,1,2,1,0,0,2,2,2,2,0,1,2,103.65,3988.5,0,1,0
3487,1947,1,0,0,0,19.0,1,0,0,0,0,0,0,0,0,0,1,0,45.0,865.85,0,0,1
6661,3342,1,0,1,1,48.0,1,2,2,1,1,1,1,1,1,2,0,3,23.55,1173.35,0,0,0
1413,4018,0,0,1,0,71.0,1,2,1,2,0,2,0,2,2,1,1,1,104.1,7412.25,0,1,0
4209,3064,1,1,0,0,5.0,1,0,1,0,2,0,0,0,2,0,1,2,85.55,408.5,0,1,1
2547,3391,1,0,0,1,35.0,1,0,0,0,0,0,2,2,2,1,1,3,72.1,2495.15,0,1,0
1754,907,1,1,0,0,52.0,1,2,1,0,2,2,2,2,2,0,1,2,110.75,5832.0,0,1,0
5452,6105,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,0,0,3,44.75,148.05,0,0,1
6840,5638,1,0,1,0,67.0,1,2,1,0,2,0,0,2,0,1,1,0,88.4,5798.3,0,1,0
5966,1383,0,0,0,0,1.0,0,1,0,0,0,2,2,0,0,0,0,3,35.9,35.9,0,0,1
5721,6282,1,0,0,1,2.0,1,0,0,0,0,0,0,0,2,0,1,2,55.3,108.65,0,0,1
5158,3852,1,1,1,0,41.0,1,0,1,0,2,0,0,2,2,0,1,2,94.55,3851.45,0,1,0
4900,959,0,1,1,0,44.0,1,0,1,2,2,0,2,0,0,0,1,2,85.15,3670.5,0,1,0
107,5054,1,0,0,0,38.0,1,2,1,0,0,2,2,2,0,1,0,0,95.0,3605.6,0,1,0
3959,5121,1,1,1,0,17.0,1,2,1,0,0,0,0,2,2,0,1,2,94.8,1563.9,0,1,1
5460,7015,0,0,0,0,6.0,1,0,2,1,1,1,1,1,1,0,0,1,19.7,129.55,0,0,1
2472,4640,1,0,1,1,49.0,1,2,1,0,0,0,2,2,2,1,1,2,97.95,4917.9,0,1,0
3913,5864,0,1,1,0,60.0,1,2,1,2,2,2,2,2,2,2,1,0,116.05,6925.9,0,1,0
1,5365,0,0,1,0,1.0,0,1,0,0,2,0,0,0,0,0,1,2,29.85,29.85,0,0,1
188,3917,1,0,1,1,33.0,1,0,0,2,0,2,0,2,2,1,0,1,74.75,2453.3,0,1,0
3452,6859,1,0,0,0,39.0,1,2,1,0,2,0,0,0,0,1,0,1,81.4,3213.75,0,1,0
5730,6789,0,0,1,1,18.0,1,2,2,1,1,1,1,1,1,2,1,1,24.65,471.35,0,0,1
3157,6970,0,0,0,0,26.0,1,0,1,2,0,2,2,0,2,1,1,0,95.85,2475.35,0,1,1
1399,1557,0,0,1,1,62.0,1,2,1,0,2,2,2,2,2,1,1,2,110.8,6840.95,0,1,0
4194,5041,0,0,1,1,69.0,1,2,0,2,2,0,2,2,0,1,0,1,73.7,4885.85,0,1,0
3167,4551,1,0,0,0,19.0,1,2,0,0,0,0,0,2,2,0,0,3,69.6,1394.55,0,0,1
6645,2308,1,0,1,1,28.0,0,1,0,2,0,2,2,2,0,1,0,3,50.8,1386.8,0,0,1
6897,1056,0,0,1,1,48.0,1,0,1,2,0,2,0,2,2,1,1,0,99.7,4977.2,0,1,0
554,5770,1,0,0,0,15.0,1,0,2,1,1,1,1,1,1,0,0,3,19.75,311.6,0,0,1
3526,1747,0,0,1,1,57.0,1,0,0,2,2,0,0,0,0,1,0,2,53.45,3053.0,0,0,0
2739,1629,1,0,0,0,11.0,1,0,2,1,1,1,1,1,1,0,0,3,20.25,208.0,0,0,1
3228,2143,1,0,1,0,3.0,0,1,0,0,2,0,0,0,0,0,0,1,29.8,94.4,0,0,1
5898,2474,1,0,1,1,12.0,1,2,2,1,1,1,1,1,1,2,1,0,24.0,269.65,0,0,1
5201,534,0,1,0,0,66.0,1,2,1,0,2,2,0,2,2,1,0,0,108.1,7238.6,0,1,0
6275,429,0,0,1,1,29.0,1,0,2,1,1,1,1,1,1,2,0,3,20.2,558.8,0,0,0
5307,6817,0,0,1,1,10.0,1,0,0,0,2,0,2,0,2,0,1,2,65.5,616.9,0,0,1
2858,140,0,0,0,0,60.0,1,2,1,0,0,2,0,0,0,1,1,0,79.2,4765.0,0,1,0
5959,5236,1,0,0,0,20.0,0,1,0,2,2,2,2,2,0,0,1,1,55.0,1165.55,0,0,1
1847,4929,1,0,0,0,45.0,1,0,0,2,0,2,0,2,2,0,1,2,75.95,3273.8,0,1,0
4600,1506,0,0,1,1,68.0,1,2,0,0,2,2,2,2,2,2,0,0,85.3,5560.0,0,1,0
4707,4257,1,1,0,0,54.0,0,1,0,0,2,2,0,2,2,1,1,2,55.45,2966.95,0,0,0
4854,5808,1,0,0,0,41.0,0,1,0,0,0,2,0,2,2,1,1,2,51.35,2075.1,0,0,0
5606,1988,0,0,1,1,35.0,0,1,0,0,0,0,2,2,0,1,0,3,40.9,1383.6,0,0,0
4424,709,0,0,1,1,8.0,1,0,2,1,1,1,1,1,1,0,0,1,21.05,139.75,0,0,1
5998,1409,1,0,0,0,2.0,1,0,1,0,2,0,0,0,0,0,0,2,74.95,151.75,0,1,1
2006,2790,0,0,0,0,5.0,1,0,2,1,1,1,1,1,1,0,0,3,20.15,117.95,0,0,1
2890,5611,1,1,0,0,67.0,1,2,1,2,2,2,2,2,2,2,1,1,116.1,7839.85,0,1,0
6385,1634,1,1,1,0,65.0,1,2,1,0,2,2,0,2,2,0,1,2,104.35,6578.55,0,1,0
1101,3238,0,0,1,0,7.0,1,0,0,2,0,2,2,2,2,0,0,0,81.25,580.1,0,1,1
4478,1825,0,1,1,0,26.0,1,2,1,0,0,2,0,2,2,0,1,0,98.1,2510.7,0,1,1
6668,460,0,0,0,0,1.0,1,0,0,0,0,0,0,2,0,0,1,2,54.65,54.65,0,0,1
5378,2833,1,0,1,0,71.0,1,0,1,0,2,2,2,2,2,2,1,2,105.25,7291.75,0,1,0
3666,785,0,0,0,0,51.0,1,0,1,0,0,0,0,2,2,1,0,1,87.55,4475.9,0,1,0
120,2138,1,0,1,1,3.0,1,0,1,2,2,0,0,2,0,0,0,2,89.85,248.4,0,1,1
3105,5159,0,0,1,0,55.0,1,2,1,0,2,2,0,2,0,0,1,1,94.45,5073.1,0,1,0
6599,5898,1,0,0,0,14.0,1,0,2,1,1,1,1,1,1,0,1,2,20.05,299.3,0,0,1
6341,6097,1,0,1,1,57.0,1,2,1,0,0,0,0,0,0,0,1,2,74.3,4018.35,0,1,0
4256,4864,0,0,1,1,24.0,0,1,0,2,2,2,2,0,2,2,1,3,52.5,1208.15,0,0,1
3161,6642,0,0,0,0,25.0,1,0,2,1,1,1,1,1,1,0,0,3,19.05,461.3,0,0,1
6657,562,1,0,0,0,36.0,1,0,2,1,1,1,1,1,1,2,1,1,18.55,689.0,0,0,0
2702,4569,0,0,1,0,71.0,1,2,0,2,2,2,2,2,2,2,0,0,87.95,6365.35,0,1,0
5607,6456,1,0,0,0,6.0,1,0,0,2,0,2,2,2,2,2,1,3,80.25,493.4,0,1,1
4299,5373,0,0,0,0,12.0,1,0,1,2,0,0,0,2,0,1,1,1,85.15,979.05,0,1,1
3363,3865,1,0,0,0,27.0,1,0,0,2,0,0,2,0,0,0,0,3,53.45,1461.45,0,0,1
4092,2699,0,0,0,0,10.0,1,0,2,1,1,1,1,1,1,0,1,3,20.9,247.0,0,0,1
164,5339,1,0,0,0,10.0,1,2,2,1,1,1,1,1,1,2,0,0,25.7,251.6,0,0,1
50,2593,0,0,0,0,49.0,1,2,1,0,0,0,0,0,2,0,1,2,84.5,3906.7,0,1,0
5492,3912,1,0,0,1,33.0,1,0,2,1,1,1,1,1,1,1,1,3,20.15,682.15,0,0,0
